Season,Player,Pos,Team,Projected FFP
2025,David Montgomery,RB,DET,213.5
2025,Aaron Jones Sr.,RB,MIN,213.0
2025,T.J. Hockenson,TE,MIN,187.1
2025,Tony Pollard,RB,TEN,210.3
2025,RJ Harvey,RB,DEN,202.5
2025,Isiah Pacheco,RB,KC,211.0
2025,Chris Godwin,WR,TB,187.2
2025,Jakobi Meyers,WR,LV,218.7
2025,Chris Olave,WR,NO,206.7
2025,Matthew Golden,WR,GB,204.1
2025,Michael Pittman Jr.,WR,IND,201.3
2025,Cooper Kupp,WR,SEA,201.9
2025,Stefon Diggs,WR,NE,201.1
2025,Tyrone Tracy Jr.,RB,NYG,206.4
2025,Jaylen Warren,RB,PIT,204.2
2025,Jacory Croskey-Merritt,RB,WSH,164.9
2025,Travis Kelce,TE,KC,177.6
2025,David Njoku,TE,CLE,177.8
2025,Mark Andrews,TE,BAL,170.8
2025,Evan Engram,TE,DEN,169.1
2025,Bo Nix,QB,DEN,301.6
2025,Kyler Murray,QB,ARI,306.5
2025,Brock Purdy,QB,SF,305.6
2025,Kaleb Johnson,RB,PIT,189.5
2025,Austin Ekeler,RB,WSH,178.4
2025,Joe Mixon,RB,HOU,198.5
2025,J.K. Dobbins,RB,DEN,172.4
2025,Rhamondre Stevenson,RB,NE,174.2
2025,Javonte Williams,RB,DAL,162.9
2025,Jordan Addison,WR,MIN,176.4
2025,Khalil Shakir,WR,BUF,206.6
2025,Emeka Egbuka,WR,TB,180.2
2025,Jauan Jennings,WR,SF,201.3
2025,Deebo Samuel,WR,WSH,201.9
2025,Ricky Pearsall,WR,SF,186.3
2025,Keon Coleman,WR,BUF,180.8
2025,Justin Herbert,QB,LAC,283.5
2025,Caleb Williams,QB,CHI,280.4
2025,Dak Prescott,QB,DAL,285.7
2025,Justin Fields,QB,NYJ,296.5
2025,Jayden Reed,WR,GB,166.8
2025,Keenan Allen,WR,LAC,184.6
2025,Darnell Mooney,WR,ATL,160.6
2025,Josh Downs,WR,IND,179.3
2025,Rashid Shaheed,WR,NO,184.5
2025,Jayden Higgins,WR,HOU,156.7
2025,Tyler Warren,TE,IND,166.3
2025,Cam Skattebo,RB,NYG,140.1
2025,Travis Etienne Jr.,RB,JAX,153.2
2025,Tyjae Spears,RB,TEN,158.2
2025,Tank Bigsby,RB,JAX,142.6
2025,Jordan Mason,RB,MIN,127.9
2025,Rachaad White,RB,TB,130.0
2025,Quinshon Judkins,RB,CLE,150.3
2025,Drake Maye,QB,NE,271.4
2025,Jordan Love,QB,GB,264.7
2025,Jared Goff,QB,DET,260.6
2025,J.J. McCarthy,QB,MIN,281.6
2025,Colston Loveland,TE,CHI,155.7
2025,Tucker Kraft,TE,GB,160.5
2025,Dallas Goedert,TE,PHI,156.8
2025,Jake Ferguson,TE,DAL,149.2
2025,Dalton Kincaid,TE,BUF,147.1
2025,Trey Benson,RB,ARI,124.2
2025,Zach Charbonnet,RB,SEA,137.0
2025,Jaydon Blue,RB,DAL,102.5
2025,Tyler Allgeier,RB,ATL,97.7
2025,Jaylen Wright,RB,MIA,95.7
2025,Braelon Allen,RB,NYJ,84.0
2025,Adam Thielen,WR,CAR,168.1
2025,Xavier Legette,WR,CAR,155.6
2025,Cedric Tillman,WR,CLE,168.2
2025,Hollywood Brown,WR,KC,160.7
2025,Brandon Aiyuk,WR,SF,112.4
2025,Hunter Henry,TE,NE,146.6
2025,Kyle Pitts Sr.,TE,ATL,142.9
2025,Tua Tagovailoa,QB,MIA,274.4
2025,Matthew Stafford,QB,LAR,274.5
2025,C.J. Stroud,QB,HOU,272.3
2025,Jerome Ford,RB,CLE,117.9
2025,Najee Harris,RB,LAC,94.9
2025,Bhayshul Tuten,RB,JAX,54.8
2025,Ray Davis,RB,BUF,81.1
2025,Will Shipley,RB,PHI,56.8
2025,Nick Chubb,RB,HOU,112.4
2025,Wan'Dale Robinson,WR,NYG,152.1
2025,Marvin Mims Jr.,WR,DEN,149.6
2025,Christian Kirk,WR,HOU,130.2
2025,Rashod Bateman,WR,BAL,133.5
2025,DeMario Douglas,WR,NE,139.8
2025,Luther Burden III,WR,CHI,102.7
2025,Tre Harris,WR,LAC,107.4
2025,Michael Wilson,WR,ARI,115.8
2025,Brian Robinson Jr.,RB,SF,73.3
2025,Justice Hill,RB,BAL,108.1
2025,MarShawn Lloyd,RB,GB,76.4
2025,Jack Bech,WR,LV,99.3
2025,Kyle Williams,WR,NE,70.6
2025,Zach Ertz,TE,WSH,140.4
2025,Jonnu Smith,TE,PIT,135.2
2025,Darren Waller,TE,MIA,144.3
2025,Brenton Strange,TE,JAX,139.8
2025,Texans D/ST,D/ST,HOU,131.7
2025,Steelers D/ST,D/ST,PIT,132.5
2025,Broncos D/ST,D/ST,DEN,127.5
2025,Vikings D/ST,D/ST,MIN,119.6
2025,Seahawks D/ST,D/ST,SEA,119.6
2025,Ravens D/ST,D/ST,BAL,120.4
2025,Patriots D/ST,D/ST,NE,116.5
2025,Lions D/ST,D/ST,DET,118.2
2025,Eagles D/ST,D/ST,PHI,100
2025,Bills D/ST,D/ST,BUF,104.9
2025,Colts D/ST,D/ST,IND,108.5
2025,Jets D/ST,D/ST,NYJ,96.7
2025,Jake Bates,K,DET,144.8
2025,Chase McLaughlin,K,TB,146.3
2025,Cameron Dicker,K,LAC,143.7
2025,Brandon Aubrey,K,DAL,142.2
2025,Jason Sanders,K,MIA,140.6
2025,Tyler Bass,K,BUF,141.3
2025,Jake Elliott,K,PHI,141.1
2025,Chris Boswell,K,PIT,138.2
2025,Harrison Butker,K,KC,138.9
2025,Cairo Santos,K,CHI,139.6
2025,Tyler Loop,K,BAL,140
2025,Matt Gay,K,WSH,140
2025,Romeo Doubs,WR,GB,128.5
2025,Tyler Lockett,WR,TEN,117.4
2025,Roschon Johnson,RB,CHI,80.6
2025,Dylan Sampson,RB,CLE,63.2
2025,Nick Westbrook-Ikhine,WR,MIA,108.9
2025,Trevor Lawrence,QB,JAX,278.8
2025,Cam Ward,QB,TEN,255.5
2025,Michael Penix Jr.,QB,ATL,250.7
